dmf,therapeutic_class,country,year
MF 023138,,India,2009
MF 030157,Metabolic Bone Disease Agents,United Kingdom,2016
MF 033296,Central Nervous System Agents,India,2018
MF 015251,,India,2001
MF 018702,,India,2005
MF 028951,Analgesics,India,2015
MF 020959,Ophthalmic Agents,India,2007
MF 033462,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2018
MF 033462,,China,2018
MF 033462,Gastrointestinal Agents,China,2018
MF 023793,Dental and Oral Agents,Switzerland,2010
MF 023793,Ophthalmic Agents,Switzerland,2010
MF 019915,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",United States,2006
MF 019915,,United States,2006
MF 015464,,Taiwan,2001
MF 027733,,China,2013
MF 034095,,India,2019
MF 036163,Cardiovascular Agents,China,2021
MF 019532,Anesthetics,Sweden,2006
MF 019532,Gastrointestinal Agents,Sweden,2006
MF 025830,Inflammatory Bowel Disease Agents,India,2012
MF 025830,Ophthalmic Agents,India,2012
MF 018318,Dental and Oral Agents,Italy,2005
MF 018318,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2005
MF 027180,Anesthetics,India,2013
MF 027180,Ophthalmic Agents,India,2013
MF 027180,Gastrointestinal Agents,India,2013
MF 028464,,United States,2017
MF 032351,,India,2018
MF 030986,,United States,2017
MF 034437,,Finland,2020
MF 031522,,India,2017
MF 033137,,India,2018
MF 030981,Cardiovascular Agents,India,2016
MF 030801,Cardiovascular Agents,India,2016
MF 026275,Genitourinary Agents,India,2012
MF 029628,Antineoplastics,India,2016
MF 028614,,China,2014
MF 028614,Anticonvulsants,China,2014
MF 027223,,India,2013
MF 021819,,Canada,2008
MF 031842,,India,2017
MF 023644,,Mexico,2010
MF 020405,,Spain,2007
MF 033948,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",India,2019
MF 030541,Genitourinary Agents,India,2016
MF 030375,,India,2016
MF 027487,,India,2013
MF 032272,,India,2017
MF 027586,Dental and Oral Agents,Spain,2013
MF 035334,Respiratory Tract/Pulmonary Agents,India,2021
MF 034701,Respiratory Tract/Pulmonary Agents,China,2020
MF 022932,Skeletal Muscle Relaxants,Italy,2009
MF 034022,,India,2019
MF 035515,Antibacterials,India,2021
MF 017355,,Taiwan,2004
MF 026596,Antiemetics,India,2012
MF 023162,Antiemetics,China,2009
MF 034506,Dermatological Agents,India,2020
MF 019692,Antivirals,China,2006
MF 017935,Respiratory Tract/Pulmonary Agents,France,2004
MF 015919,Anesthetics,Switzerland,2002
MF 033010,Analgesics,China,2018
MF 015149,,Germany,2000
MF 015149,Blood Products and Modifiers,Germany,2000
MF 029099,,India,2015
MF 026348,,India,2013
MF 019840,Respiratory Tract/Pulmonary Agents,India,2006
MF 027241,Skeletal Muscle Relaxants,India,2013
MF 025806,Analgesics,India,2012
MF 025806,Central Nervous System Agents,India,2012
MF 030868,,India,2016
MF 032409,,India,2018
MF 029772,,China,2015
MF 032274,,India,2017
MF 035198,,India,2020
MF 035584,,India,2021
MF 036139,,India,2021
MF 030082,,India,2015
MF 033143,,India,2018
MF 028093,Respiratory Tract/Pulmonary Agents,India,2014
MF 033938,,India,2019
MF 035461,Respiratory Tract/Pulmonary Agents,China,2020
MF 035461,Antiparkinson Agents,China,2020
MF 024749,Inflammatory Bowel Disease Agents,China,2011
MF 021037,,Italy,2007
MF 024468,,India,2011
MF 017399,,Taiwan,2004
MF 026316,Anticonvulsants,India,2012
MF 026044,,India,2012
MF 020445,Otic Agents,Italy,2007
MF 020445,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2007
MF 020445,Antivirals,Italy,2007
MF 025587,Ophthalmic Agents,India,2011
MF 025587,Inflammatory Bowel Disease Agents,India,2011
MF 022949,Dermatological Agents,Mexico,2009
MF 036071,Otic Agents,China,2021
MF 036071,Antivirals,China,2021
MF 017631,,Spain,2004
MF 023873,Antivirals,India,2010
MF 033511,Antidepressants,India,2019
MF 019153,Anti-obesity Agents,India,2006
MF 035694,Anti-addiction/Substance Abuse Treatment Agents,India,2021
MF 035418,Anti-obesity Agents,India,2020
MF 034285,Anti-obesity Agents,China,2019
MF 027204,Anti-obesity Agents,India,2013
MF 032818,Dental and Oral Agents,Spain,2018
MF 032818,,Spain,2018
MF 028217,,India,2014
MF 019647,Genitourinary Agents,India,2006
MF 031901,Analgesics,India,2017
MF 036491,Antibacterials,China,2021
MF 027188,,United States,2013
MF 019388,,India,2006
MF 031965,Respiratory Tract/Pulmonary Agents,India,2017
MF 035149,Respiratory Tract/Pulmonary Agents,India,2020
MF 027462,Antivirals,India,2013
MF 033919,Antivirals,India,2019
MF 030154,Antivirals,China,2015
MF 031555,,United States,2017
MF 024542,,India,2011
MF 024542,Ophthalmic Agents,India,2011
MF 023908,,France,2010
MF 019417,Ophthalmic Agents,Spain,2006
MF 023612,Contraceptives,India,2011
MF 023673,Antidepressants,India,2010
MF 020365,Antidepressants,Italy,2007
MF 035712,,China,2021
MF 023461,,United States,2010
MF 018213,,India,2005
MF 018119,,India,2005
MF 034568,,India,2020
MF 019446,,India,2006
MF 015687,Antiparasitics,Italy,2001
MF 020036,Anticonvulsants,India,2006
MF 019884,Anticonvulsants,India,2006
MF 031437,Anticonvulsants,India,2018
MF 036171,Antineoplastics,India,2021
MF 032319,Blood Glucose Regulators,China,2017
MF 024368,,Switzerland,2010
MF 031024,Antiparkinson Agents,Czech Republic,2016
MF 024666,Antineoplastics,India,2011
MF 024306,Metabolic Bone Disease Agents,Poland,2010
MF 019523,Metabolic Bone Disease Agents,India,2006
MF 023847,Antineoplastics,China,2010
MF 035934,Antineoplastics,China,2021
MF 025905,Metabolic Bone Disease Agents,India,2012
MF 034910,,India,2020
MF 025787,,India,2012
MF 028507,,China,2014
MF 016598,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",United States,2003
MF 017141,Inflammatory Bowel Disease Agents,China,2004
MF 019920,Bipolar Agents,Italy,2006
MF 033962,Antidepressants,India,2019
MF 025472,Antipsychotics,India,2012
MF 029991,Antipsychotics,India,2015
MF 019739,Bipolar Agents,India,2006
MF 028341,Bipolar Agents,China,2014
MF 030683,,India,2016
MF 032354,Antimigraine Agents,United States,2019
MF 034566,Blood Glucose Regulators,India,2020
MF 036335,,India,2021
MF 021376,,India,2008
MF 034868,,Netherlands,2020
MF 022033,Anticonvulsants,Republic Of Korea,2008
MF 017243,,Netherlands,2004
MF 035849,,Taiwan,2021
MF 031357,Dental and Oral Agents,India,2017
MF 014693,Dental and Oral Agents,Italy,2000
MF 019096,Dermatological Agents,China,2006
MF 019096,Inflammatory Bowel Disease Agents,China,2006
MF 017758,Dermatological Agents,Italy,2004
MF 034452,Cardiovascular Agents,India,2019
MF 035807,Cardiovascular Agents,India,2021
MF 027866,Central Nervous System Agents,India,2014
MF 031053,Central Nervous System Agents,Netherlands,2017
MF 030938,Central Nervous System Agents,India,2016
MF 029487,Central Nervous System Agents,China,2015
MF 034743,,India,2020
MF 030456,,India,2016
MF 024694,,China,2011
MF 028860,,India,2015
MF 027119,,India,2013
MF 036129,,Poland,2021
MF 026079,,India,2012
MF 028727,,Canada,2014
MF 018379,,India,2005
MF 028033,,China,2013
MF 018066,,India,2005
MF 027027,,India,2013
MF 027646,Electrolytes/Minerals/Metals/Vitamins,India,2013
MF 032377,Immunological Agents,India,2017
MF 026610,,China,2012
MF 022320,,United States,2008
MF 020003,Antivirals,India,2006
MF 021540,Antivirals,India,2008
MF 027143,Antivirals,India,2013
MF 023301,,China,2009
MF 022641,Inflammatory Bowel Disease Agents,Italy,2009
MF 022641,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2009
MF 020609,Respiratory Tract/Pulmonary Agents,India,2007
MF 018910,Gastrointestinal Agents,Italy,2005
MF 020010,Inflammatory Bowel Disease Agents,Italy,2006
MF 034268,Respiratory Tract/Pulmonary Agents,China,2019
MF 027451,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Canada,2013
MF 036652,,India,2021
MF 026647,,Taiwan,2012
MF 031665,Respiratory Tract/Pulmonary Agents,India,2017
MF 021110,,India,2007
MF 031281,,India,2016
MF 024453,Cardiovascular Agents,China,2010
MF 015438,Cardiovascular Agents,Italy,2001
MF 026080,Cardiovascular Agents,India,2012
MF 028512,,China,2014
MF 026087,Gastrointestinal Agents,India,2012
MF 025805,,India,2012
MF 026995,,Italy,2013
MF 026878,Ophthalmic Agents,India,2013
MF 023213,Dermatological Agents,Taiwan,2009
MF 018442,Dermatological Agents,India,2005
MF 031746,Cardiovascular Agents,United States,2017
MF 033423,Cardiovascular Agents,India,2018
MF 033460,Cardiovascular Agents,India,2019
MF 036047,,Spain,2021
MF 032475,,Italy,2018
MF 023735,Gastrointestinal Agents,Taiwan,2010
MF 036339,Antiparasitics,India,2021
MF 016683,Central Nervous System Agents,France,2003
MF 028799,,United States,2014
MF 032389,,China,2017
MF 028439,,India,2014
MF 028097,,India,2014
MF 031304,,India,2017
MF 023068,,India,2009
MF 021917,,India,2008
MF 023337,,United States,2009
MF 035535,,China,2021
MF 020629,,India,2007
MF 036079,,United States,2021
MF 034295,,Spain,2019
MF 027664,,China,2013
MF 033602,,China,2019
MF 028100,,India,2014
MF 025025,,United States,2011
MF 017627,,Italy,2004
MF 028438,,India,2014
MF 024446,,India,2010
MF 016936,,United States,2003
MF 029005,,India,2015
MF 018452,,China,2005
MF 035688,,India,2021
MF 026865,,India,2013
MF 020123,,Denmark,2007
MF 030407,,Germany,2016
MF 022265,,India,2008
MF 035370,,China,2020
MF 021467,,India,2008
MF 025837,,India,2012
MF 035425,,India,2020
MF 025363,,Taiwan,2011
MF 023084,,India,2009
MF 025810,,India,2012
MF 027248,,China,2013
MF 021486,,Italy,2008
MF 029442,,India,2015
MF 031044,,Austria,2016
MF 029669,,India,2015
MF 030850,,India,2016
MF 023399,,South Africa,2009
MF 027829,,India,2013
MF 019892,,India,2006
MF 023042,,Republic Of Korea,2009
MF 026756,,China,2013
MF 026582,,India,2013
MF 027106,,India,2013
MF 025694,,India,2012
MF 034410,,Spain,2020
MF 027265,,China,2013
MF 034835,,China,2020
MF 019463,,Malta,2006
MF 020850,,India,2007
MF 030075,,India,2015
MF 028932,,India,2015
MF 028321,,India,2014
MF 034512,,India,2020
MF 020492,,Germany,2007
MF 021681,,Japan,2008
MF 021268,,China,2007
MF 033427,,India,2019
MF 026841,,Israel,2013
MF 033398,,India,2018
MF 028279,,India,2014
MF 020573,,India,2007
MF 036660,,Taiwan,2021
MF 032091,,China,2017
MF 023438,,India,2009
MF 029716,,China,2015
MF 016439,,United States,2003
MF 024819,,Switzerland,2011
MF 016152,,France,2002
MF 030943,,United States,2017
MF 019336,,India,2006
MF 019545,,China,2006
MF 025339,,United States,2011
MF 033054,,India,2018
MF 020393,,India,2007
MF 022144,,United States,2008
MF 035707,,China,2021
MF 028454,,China,2014
MF 036425,,China,2021
MF 018843,,India,2005
MF 023365,,India,2009
MF 019655,,Brazil,2006
MF 019433,,China,2006
MF 023958,,United States,2010
MF 028336,,India,2014
MF 028335,,India,2014
MF 028129,,India,2014
MF 018044,,Spain,2005
MF 026545,,India,2012
MF 030800,,China,2016
MF 026178,,India,2012
MF 027675,,India,2013
MF 027044,,India,2013
MF 017471,,Belgium,2004
MF 022484,,India,2009
MF 030212,,India,2016
MF 019401,,India,2006
MF 026727,,China,2012
MF 021183,,Taiwan,2007
MF 024592,,China,2011
MF 016483,,Republic Of Korea,2003
MF 028071,,India,2014
MF 028420,,India,2014
MF 020482,,China,2006
MF 016134,,India,2002
MF 027292,,India,2013
MF 024889,,Italy,2011
MF 024691,,India,2011
MF 020073,,United States,2006
MF 026665,,Republic Of Korea,2012
MF 028842,,India,2014
MF 024881,,India,2011
MF 030332,,India,2016
MF 028989,,China,2014
MF 036607,,China,2021
MF 028680,,China,2014
MF 030219,,India,2016
MF 032325,,India,2017
MF 032171,,India,2017
MF 035163,,United States,2020
MF 021756,,United States,2008
MF 019444,,China,2006
MF 034950,,India,2020
MF 033946,,China,2019
MF 028470,,Israel,2014
MF 022338,,India,2009
MF 025642,,India,2011
MF 029132,,India,2015
MF 018077,,Belgium,2005
MF 036510,,India,2021
MF 021173,,Spain,2007
MF 023820,,Spain,2010
MF 021126,,United States,2007
MF 028301,,United States,2014
MF 028170,,Republic Of Korea,2014
MF 023844,,United States,2010
MF 035900,,India,2021
MF 025528,,Republic Of Korea,2014
MF 019544,,Switzerland,2006
MF 033786,,China,2019
MF 033132,,United States,2018
MF 029778,,United States,2016
MF 030872,,United States,2017
MF 028912,,Belgium,2014
MF 025121,,India,2011
MF 021788,,Japan,2008
MF 034552,,India,2020
MF 032342,,China,2018
MF 031868,,Denmark,2017
MF 034901,,China,2020
MF 020146,,China,2007
MF 032419,,India,2017
MF 018390,,China,2005
MF 021106,,India,2007
MF 022532,,Spain,2009
MF 035547,,United Kingdom,2021
MF 034503,,China,2020
MF 026962,,China,2013
MF 020782,,China,2007
MF 034381,,India,2019
MF 034916,,China,2020
MF 015096,,Belgium,2000
MF 023761,,United States,2010
MF 023959,,South Africa,2010
MF 026107,,China,2012
MF 019734,Ophthalmic Agents,China,2006
MF 025849,Cardiovascular Agents,India,2012
MF 022776,Genitourinary Agents,Italy,2009
MF 027364,,India,2013
MF 029162,,India,2015
MF 021405,,Malta,2008
MF 030723,,United Kingdom,2016
MF 035765,Ophthalmic Agents,Czech Republic,2021
MF 028930,,India,2015
MF 034959,,China,2020
MF 029306,,China,2015
MF 034526,Gastrointestinal Agents,Germany,2020
MF 015445,Antifungals,India,2001
MF 027421,,India,2013
MF 029774,,China,2015
MF 031347,,Spain,2017
MF 031327,,Italy,2017
MF 031634,,Italy,2017
MF 032390,Central Nervous System Agents,India,2017
MF 035017,Sleep Disorder Agents,India,2020
MF 021189,,India,2007
MF 022506,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2009
MF 024912,Electrolytes/Minerals/Metals/Vitamins,France,2012
MF 032504,,India,2018
MF 033152,,China,2018
MF 018893,Anti-obesity Agents,United States,2005
MF 023944,Anti-obesity Agents,India,2010
MF 022598,Antiparkinson Agents,China,2009
MF 021477,,India,2008
MF 029520,,Spain,2015
MF 023390,,United States,2009
MF 028282,,India,2014
MF 035136,Inflammatory Bowel Disease Agents,India,2020
MF 029998,Inflammatory Bowel Disease Agents,India,2015
MF 034374,Inflammatory Bowel Disease Agents,India,2019
MF 035717,Inflammatory Bowel Disease Agents,India,2021
MF 034069,,India,2019
MF 036333,,India,2021
MF 034784,Anticonvulsants,India,2020
MF 026472,Anticonvulsants,India,2012
MF 026323,Anticonvulsants,India,2012
MF 035724,Anticonvulsants,India,2021
MF 026136,Anticonvulsants,India,2012
MF 029170,Anticonvulsants,India,2015
MF 035678,Gastrointestinal Agents,India,2021
MF 019911,Analgesics,Spain,2006
MF 025581,Analgesics,India,2011
MF 035592,Gastrointestinal Agents,India,2021
MF 020093,,Malta,2006
MF 032140,,Canada,2017
MF 019620,Blood Glucose Regulators,Germany,2006
MF 028838,Blood Glucose Regulators,China,2014
MF 022234,Blood Glucose Regulators,India,2008
MF 031143,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2016
MF 033334,Otic Agents,Italy,2018
MF 030971,Otic Agents,China,2016
MF 030971,Ophthalmic Agents,China,2016
MF 018225,Anticonvulsants,India,2005
MF 020826,Central Nervous System Agents,China,2007
MF 026514,Central Nervous System Agents,China,2012
MF 017063,Central Nervous System Agents,India,2003
MF 017705,,India,2004
MF 026929,Cardiovascular Agents,India,2013
MF 027539,Cardiovascular Agents,India,2013
MF 016977,Respiratory Tract/Pulmonary Agents,Taiwan,2003
MF 016977,Analgesics,Taiwan,2003
MF 034363,,Switzerland,2019
MF 031548,,India,2018
MF 022469,Cardiovascular Agents,India,2009
MF 029658,,India,2015
MF 022639,,India,2009
MF 023441,,India,2010
MF 034174,,India,2019
MF 034104,Blood Glucose Regulators,China,2019
MF 029302,Blood Glucose Regulators,China,2015
MF 035972,Blood Glucose Regulators,China,2021
MF 019978,,Republic Of Korea,2006
MF 018787,,India,2005
MF 026170,,India,2013
MF 036630,,India,2021
MF 029214,,China,2015
MF 025461,,Taiwan,2011
MF 031003,,India,2016
MF 031387,,India,2018
MF 033575,Central Nervous System Agents,India,2019
MF 034241,Cardiovascular Agents,India,2019
MF 018063,Antibacterials,China,2005
MF 018716,Ophthalmic Agents,China,2005
MF 018716,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2005
MF 034054,Gastrointestinal Agents,Taiwan,2019
MF 030775,Electrolytes/Minerals/Metals/Vitamins,India,2016
MF 030176,Metabolic Bone Disease Agents,India,2016
MF 026447,Electrolytes/Minerals/Metals/Vitamins,India,2012
MF 026447,Gastrointestinal Agents,India,2012
MF 029373,,India,2015
MF 023745,,Italy,2010
MF 035271,,India,2020
MF 034028,,United States,2019
MF 023160,Sleep Disorder Agents,India,2009
MF 026251,Genitourinary Agents,India,2012
MF 026459,Genitourinary Agents,Italy,2012
MF 029518,Genitourinary Agents,China,2015
MF 031256,,China,2016
MF 034329,,India,2020
MF 024626,,Spain,2011
MF 030057,,India,2016
MF 026669,Antineoplastics,India,2015
MF 018705,Antibacterials,Italy,2005
MF 024358,Dermatological Agents,China,2010
MF 035126,,India,2020
MF 032726,,India,2018
MF 035450,,India,2020
MF 033020,,Italy,2018
MF 019238,,India,2006
MF 032658,,India,2018
MF 027602,,India,2013
MF 024788,,Taiwan,2011
MF 031556,Gastrointestinal Agents,United States,2017
MF 031556,Electrolytes/Minerals/Metals/Vitamins,United States,2017
MF 021761,Gastrointestinal Agents,China,2008
MF 016201,,Italy,2002
MF 032433,Blood Glucose Regulators,India,2018
MF 032378,Blood Glucose Regulators,India,2017
MF 020013,,India,2006
MF 025016,,India,2012
MF 018902,,India,2005
MF 034389,Cardiovascular Agents,India,2019
MF 028627,,India,2014
MF 015307,Central Nervous System Agents,United States,2001
MF 027017,,Ireland,2013
MF 015534,,Italy,2001
MF 029461,Gastrointestinal Agents,China,2015
MF 029461,Metabolic Bone Disease Agents,China,2015
MF 027482,Gastrointestinal Agents,India,2013
MF 027430,Antiparkinson Agents,China,2013
MF 025563,Antiparkinson Agents,India,2011
MF 017846,Antiparkinson Agents,India,2004
MF 019899,Antiparkinson Agents,China,2006
MF 032724,,Canada,2018
MF 032860,,India,2018
MF 018959,Antibacterials,China,2005
MF 025062,Antibacterials,India,2011
MF 019071,,India,2005
MF 018180,,India,2005
MF 022181,,Jordan,2008
MF 016710,,India,2003
MF 031533,,Switzerland,2017
MF 020372,,France,2007
MF 033589,Antineoplastics,India,2019
MF 034892,Antineoplastics,India,2020
MF 031169,Antineoplastics,India,2017
MF 031282,Antineoplastics,India,2017
MF 023763,Antineoplastics,China,2010
MF 028907,,India,2015
MF 024716,,China,2011
MF 026577,Central Nervous System Agents,India,2012
MF 023792,Antiparasitics,Italy,2010
MF 033059,Antiparasitics,India,2019
MF 035868,,China,2021
MF 022905,,India,2009
MF 031156,,India,2016
MF 035650,Cardiovascular Agents,India,2021
MF 016406,,India,2003
MF 036449,,China,2021
MF 032293,Cardiovascular Agents,India,2017
MF 014971,Blood Products and Modifiers,Italy,2000
MF 025224,,India,2011
MF 035556,,India,2021
MF 035179,,India,2020
MF 036596,,India,2021
MF 025447,Antidepressants,India,2012
MF 030982,Antidepressants,India,2017
MF 016678,,India,2003
MF 019627,,Italy,2006
MF 016467,,Austria,2003
MF 034282,,India,2019
MF 032966,,Taiwan,2019
MF 024719,Skeletal Muscle Relaxants,India,2011
MF 032552,,United States,2018
MF 034029,,Italy,2019
MF 030978,Central Nervous System Agents,China,2016
MF 036622,Central Nervous System Agents,Argentina,2021
MF 030220,Central Nervous System Agents,Germany,2016
MF 030414,Central Nervous System Agents,India,2016
MF 029862,Central Nervous System Agents,Taiwan,2015
MF 030539,,India,2016
MF 028735,Dermatological Agents,China,2014
MF 034679,,China,2020
MF 015646,,China,2001
MF 035706,,China,2021
MF 015195,Anticonvulsants,Switzerland,2000
MF 015195,Bipolar Agents,Switzerland,2000
MF 024195,Central Nervous System Agents,India,2010
MF 036164,Anticonvulsants,India,2021
MF 026266,Bipolar Agents,Poland,2012
MF 022740,,China,2009
MF 033655,,India,2019
MF 018836,Antiparkinson Agents,India,2005
MF 019853,Antiparkinson Agents,India,2006
MF 024331,Antiparkinson Agents,Italy,2010
MF 017732,Antimigraine Agents,China,2004
MF 035779,,India,2021
MF 016544,,India,2003
MF 030793,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",China,2016
MF 027668,Contraceptives,China,2013
MF 028655,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",China,2014
MF 019745,Antineoplastics,India,2006
MF 026301,,Japan,2012
MF 025866,,India,2012
MF 015778,Dermatological Agents,India,2001
MF 021300,Genitourinary Agents,India,2008
MF 020893,Genitourinary Agents,India,2007
MF 034203,Cardiovascular Agents,India,2019
MF 021750,,Italy,2008
MF 021703,Respiratory Tract/Pulmonary Agents,Taiwan,2008
MF 017727,Anticonvulsants,India,2004
MF 035737,,China,2021
MF 021634,Contraceptives,Taiwan,2008
MF 021547,Contraceptives,India,2008
MF 028502,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Malta,2014
MF 036097,Cardiovascular Agents,India,2021
MF 022132,Blood Products and Modifiers,Czech Republic,2008
MF 020152,Respiratory Tract/Pulmonary Agents,India,2007
MF 015145,,India,2000
MF 030063,Respiratory Tract/Pulmonary Agents,India,2016
MF 019273,Respiratory Tract/Pulmonary Agents,India,2006
MF 019596,Antiemetics,India,2006
MF 019207,Antiemetics,United States,2006
MF 025260,Central Nervous System Agents,India,2011
MF 021624,Antiparasitics,China,2008
MF 032871,Contraceptives,United States,2018
MF 032871,Gastrointestinal Agents,United States,2018
MF 025030,,India,2011
MF 028518,Inflammatory Bowel Disease Agents,China,2014
MF 032728,Antibacterials,India,2018
MF 035172,,India,2020
MF 035342,Antimycobacterials,India,2020
MF 029746,Ophthalmic Agents,Taiwan,2015
MF 028134,Ophthalmic Agents,India,2014
MF 031646,,Japan,2017
MF 035444,,China,2021
MF 024501,,India,2011
MF 020227,,Italy,2007
MF 035387,Blood Products and Modifiers,India,2020
MF 028056,Blood Products and Modifiers,India,2014
MF 027659,,Germany,2013
MF 035326,Electrolytes/Minerals/Metals/Vitamins,China,2020
MF 022293,Electrolytes/Minerals/Metals/Vitamins,India,2008
MF 027405,Electrolytes/Minerals/Metals/Vitamins,United States,2014
MF 032573,,India,2018
MF 031160,,India,2016
MF 033030,,India,2018
MF 035248,,China,2020
MF 014974,,Spain,2000
MF 021653,Dermatological Agents,China,2008
MF 028959,Antineoplastics,India,2015
MF 028905,Antineoplastics,India,2014
MF 036166,Blood Products and Modifiers,India,2021
MF 033937,Blood Products and Modifiers,India,2019
MF 028984,Blood Products and Modifiers,China,2015
MF 028879,Blood Products and Modifiers,India,2015
MF 032455,,United States,2018
MF 034976,,India,2020
MF 034522,,India,2020
MF 031538,,India,2017
MF 023624,,India,2010
MF 034356,Antivirals,India,2021
MF 022610,,Italy,2009
MF 028554,Respiratory Tract/Pulmonary Agents,Israel,2014
MF 035373,,India,2020
MF 023552,,India,2010
MF 017595,,United States,2004
MF 029371,Analgesics,United States,2015
MF 019460,Skeletal Muscle Relaxants,United States,2006
MF 019460,Blood Products and Modifiers,United States,2006
MF 028417,Bipolar Agents,India,2014
MF 028447,Bipolar Agents,India,2014
MF 028164,Antipsychotics,India,2014
MF 034756,Bipolar Agents,India,2020
MF 031954,Bipolar Agents,India,2017
MF 023948,Contraceptives,France,2010
MF 034462,Gastrointestinal Agents,India,2021
MF 034462,Antibacterials,India,2021
MF 033499,,China,2019
MF 022356,Gastrointestinal Agents,China,2008
MF 022487,Antibacterials,China,2008
MF 036191,Contraceptives,China,2021
MF 033693,,India,2019
MF 016055,,Italy,2002
MF 025871,Antidementia Agents,Italy,2011
MF 029199,Antidementia Agents,India,2015
MF 024502,Antidementia Agents,India,2011
MF 032291,Cardiovascular Agents,India,2017
MF 028801,,India,2014
MF 025903,Dermatological Agents,India,2012
MF 027217,Ophthalmic Agents,Taiwan,2013
MF 034360,Ophthalmic Agents,Hungary,2019
MF 023480,Dermatological Agents,Italy,2010
MF 024906,Ophthalmic Agents,Republic Of Korea,2011
MF 028403,,China,2014
MF 033002,,Spain,2018
MF 032240,Contraceptives,United States,2018
MF 032240,Dermatological Agents,United States,2018
MF 032240,Metabolic Bone Disease Agents,United States,2018
MF 033139,,China,2019
MF 029123,,India,2015
MF 018239,,India,2005
MF 034330,,India,2020
MF 018052,,Spain,2005
MF 015039,,United States,2000
MF 027741,Dermatological Agents,China,2013
MF 023623,,China,2010
MF 022227,,China,2008
MF 017326,Inflammatory Bowel Disease Agents,Taiwan,2004
MF 029301,,India,2015
MF 033902,Antineoplastics,China,2020
MF 022611,Antineoplastics,Taiwan,2009
MF 032949,Antineoplastics,Italy,2018
MF 018481,Metabolic Bone Disease Agents,India,2005
MF 020051,,India,2006
MF 020051,Electrolytes/Minerals/Metals/Vitamins,India,2006
MF 022368,,India,2008
MF 036255,,India,2021
MF 025637,,India,2011
MF 025128,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2011
MF 025128,"Hormonal Agents, Suppressant (Pituitary)",India,2011
MF 026832,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Sweden,2013
MF 026832,,Sweden,2013
MF 035071,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",China,2020
MF 035071,,China,2020
MF 022390,,China,2008
MF 022364,Cardiovascular Agents,India,2008
MF 028346,Cardiovascular Agents,China,2014
MF 019671,Cardiovascular Agents,India,2006
MF 036226,Cardiovascular Agents,China,2021
MF 030232,,United States,2016
MF 023758,Antiemetics,India,2010
MF 015932,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2002
MF 025750,,India,2012
MF 027239,,India,2013
MF 036254,,India,2021
MF 035090,,Austria,2020
MF 036121,Antineoplastics,India,2021
MF 030552,Antineoplastics,India,2016
MF 036646,,India,2021
MF 033092,,India,2018
MF 035493,,India,2020
MF 026489,,United States,2012
MF 032908,,India,2018
MF 035049,,India,2020
MF 026021,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2012
MF 032429,Antineoplastics,India,2018
MF 036113,Antigout Agents,India,2021
MF 021676,Antigout Agents,India,2008
MF 017128,Antineoplastics,India,2004
MF 022264,,India,2008
MF 032785,,Macao,2018
MF 028699,,China,2014
MF 021044,,Republic Of Korea,2007
MF 020888,Genitourinary Agents,France,2007
MF 029318,,India,2015
MF 027731,,India,2013
MF 016625,,India,2003
MF 033198,,India,2018
MF 023273,,China,2009
MF 027139,,India,2013
MF 035415,,India,2020
MF 028355,Inflammatory Bowel Disease Agents,Denmark,2014
MF 027733,Dermatological Agents,China,2013
MF 027733,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2013
MF 027733,Ophthalmic Agents,China,2013
MF 031560,Electrolytes/Minerals/Metals/Vitamins,United States,2017
MF 035608,,India,2021
MF 026230,,China,2012
MF 035759,Antiparasitics,India,2021
MF 024026,Analgesics,Spain,2010
MF 033877,Antibacterials,India,2019
MF 030755,Antibacterials,India,2016
MF 030260,Antineoplastics,India,2016
MF 021280,Antivirals,China,2008
MF 016949,Antipsychotics,Italy,2003
MF 031163,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Sweden,2018
